recording_id,rec_key,animal,condition,source_path,accepted_roi_count,duration_s_used,frame_count_used,N_G1,group_size_G1,group_n_G1,group_min_G1,group_median_G1,group_max_G1,q_max_G1,N_G2,group_size_G2,group_n_G2,group_min_G2,group_median_G2,group_max_G2,q_max_G2,N_G3,group_size_G3,group_n_G3,group_min_G3,group_median_G3,group_max_G3,q_max_G3
37527:awa:20181224-awake imaging GCaMP6f mouse #37527:2,000_37527_awa_9ad8bf08f8,37527,awa,Anesthesia/calcium_imaging/20181224-awake imaging GCaMP6f mouse #37527/2/suite2p/plane0,141,300.0,9000,141,1,141,1,1.0,1,0.6523753835320155,47,3,47,3,3.0,3,0.519182888184699,24,6,24,3,6.0,6,0.42643229166666663
37527:awa:20181224-awake imaging GCaMP6f mouse #37527:3,001_37527_awa_c1641c02d8,37527,awa,Anesthesia/calcium_imaging/20181224-awake imaging GCaMP6f mouse #37527/3/suite2p/plane0,174,300.0,9000,174,1,174,1,1.0,1,0.6258133505086537,44,4,44,2,4.0,4,0.5044550619834711,25,7,25,6,7.0,7,0.4598000000000001
37527:awa:20190410 - awake imaging GCaMP6f mouse #37527:2,002_37527_awa_0aa947c4cb,37527,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37527/2/suite2p/plane0,196,300.0,9000,196,1,196,1,1.0,1,0.6103999635568517,49,4,49,4,4.0,4,0.3899416909620992,25,8,25,4,8.0,8,0.2972
37527:awa:20190410 - awake imaging GCaMP6f mouse #37527:3,003_37527_awa_4237a43a5f,37527,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37527/3/suite2p/plane0,150,300.0,9000,150,1,150,1,1.0,1,0.4804111111111111,50,3,50,3,3.0,3,0.32230000000000003,25,6,25,6,6.0,6,0.27240000000000003
37527:awa:20190410 - awake imaging GCaMP6f mouse #37527:4,004_37527_awa_45e2b5cf1e,37527,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37527/4/suite2p/plane0,228,300.0,9000,228,1,228,1,1.0,1,0.7290272006771312,46,5,46,3,5.0,5,0.4157608695652174,23,10,23,8,10.0,10,0.3887051039697542
37527:awa:20190410 - awake imaging GCaMP6f mouse #37527:5,005_37527_awa_02062d2143,37527,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37527/5/suite2p/plane0,280,300.0,9000,280,1,280,1,1.0,1,0.7444993622448979,47,6,47,4,6.0,6,0.3697940244454505,24,12,24,4,12.0,12,0.302734375
37527:awa:20190410 - awake imaging GCaMP6f mouse #37527:6,006_37527_awa_fbb2451fc8,37527,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37527/6/suite2p/plane0,218,300.0,9000,218,1,218,1,1.0,1,0.6154416715764667,44,5,44,3,5.0,5,0.38649276859504134,25,9,25,2,9.0,9,0.2828
37527:iso:20181206-imaging GCaMP6f mouse #37527 under isoflurane:2,007_37527_iso_6cab1297b7,37527,iso,Anesthesia/calcium_imaging/20181206-imaging GCaMP6f mouse #37527 under isoflurane/2/suite2p/plane0,582,300.0,9000,582,1,582,1,1.0,1,0.7344397651185035,49,12,49,6,12.0,12,0.5444085797584339,25,24,25,6,24.0,24,0.4086000000000001
37527:iso:20181206-imaging GCaMP6f mouse #37527 under isoflurane:3,008_37527_iso_b3ac00a7c6,37527,iso,Anesthesia/calcium_imaging/20181206-imaging GCaMP6f mouse #37527 under isoflurane/3/suite2p/plane0,624,300.0,9000,624,1,624,1,1.0,1,0.778311965811966,48,13,48,13,13.0,13,0.4850802951388889,25,25,25,24,25.0,25,0.3338
37527:iso:20181206-imaging GCaMP6f mouse #37527 under isoflurane:4,009_37527_iso_dfaea8cced,37527,iso,Anesthesia/calcium_imaging/20181206-imaging GCaMP6f mouse #37527 under isoflurane/4/suite2p/plane0,635,300.0,9000,635,1,635,1,1.0,1,0.7946717093434188,49,13,49,11,13.0,13,0.5249895876718035,25,26,25,11,26.0,26,0.45659999999999995
37527:iso:20181206-imaging GCaMP6f mouse #37527 under isoflurane:5,010_37527_iso_22ef2a2f7f,37527,iso,Anesthesia/calcium_imaging/20181206-imaging GCaMP6f mouse #37527 under isoflurane/5/suite2p/plane0,652,300.0,9000,652,1,652,1,1.0,1,0.7480763530806578,47,14,47,8,14.0,14,0.4776482571299231,25,27,25,4,27.0,27,0.43900000000000006
37527:iso:20190417 - imaging GCaMP6f mouse #37527 under iso:2,011_37527_iso_baedf2ce35,37527,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37527 under iso/2/suite2p/plane0,637,300.0,9000,637,1,637,1,1.0,1,0.7667429005172891,49,13,49,13,13.0,13,0.36916909620991256,25,26,25,13,26.0,26,0.3126
37527:iso:20190417 - imaging GCaMP6f mouse #37527 under iso:3,012_37527_iso_724aaa0893,37527,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37527 under iso/3/suite2p/plane0,548,300.0,9000,548,1,548,1,1.0,1,0.6985446414300176,50,11,50,9,11.0,11,0.37295,25,22,25,20,22.0,22,0.2982
37527:iso:20190417 - imaging GCaMP6f mouse #37527 under iso:4,013_37527_iso_1da0cd066a,37527,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37527 under iso/4/suite2p/plane0,595,300.0,9000,595,1,595,1,1.0,1,0.6482617752983547,50,12,50,7,12.0,12,0.3898000000000001,25,24,25,19,24.0,24,0.28600000000000003
37527:iso:20190417 - imaging GCaMP6f mouse #37527 under iso:5,014_37527_iso_bc64190a94,37527,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37527 under iso/5/suite2p/plane0,603,300.0,9000,603,1,603,1,1.0,1,0.8062630462942334,47,13,47,5,13.0,13,0.41630828429153466,25,25,25,3,25.0,25,0.31619999999999987
37527:iso:20190417 - imaging GCaMP6f mouse #37527 under iso:6,015_37527_iso_f760c0c11f,37527,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37527 under iso/6/suite2p/plane0,610,300.0,9000,610,1,610,1,1.0,1,0.7183394920720236,47,13,47,12,13.0,13,0.42026935264825716,25,25,25,10,25.0,25,0.3302
