dataset,animal,grain,representation,mean,median,q025,q975,min,max,n,negative_fraction,positive_fraction
riken,mouse03,G2,R0,-0.020865079847131374,-0.020865079847131374,-0.020865079847131374,-0.020865079847131374,-0.020865079847131374,-0.020865079847131374,1,1.0,0.0
riken,mouse03,G2,R1_N_ONLY,-0.17778215003972112,-0.18008623191340029,-0.1999491901281487,-0.150433905457024,-0.20139803341971718,-0.14556442290635074,50,1.0,0.0
riken,mouse03,G2,R2_RANDOM_AGG,0.16396710735881656,0.1637538636486341,0.1476434503081278,0.18173627500886977,0.14424439758896762,0.18186851157696643,50,0.0,1.0
riken,mouse03,G2,R3,0.1150736816835577,0.1150736816835577,0.1150736816835577,0.1150736816835577,0.1150736816835577,0.1150736816835577,1,0.0,1.0
riken,mouse03,G3,R0,-0.020865079847131374,-0.020865079847131374,-0.020865079847131374,-0.020865079847131374,-0.020865079847131374,-0.020865079847131374,1,1.0,0.0
riken,mouse03,G3,R1_N_ONLY,-0.06256757249453568,-0.05846675687716604,-0.11307725527786808,-0.03109489301502443,-0.1294382596511697,-0.021995962680174785,50,1.0,0.0
riken,mouse03,G3,R2_RANDOM_AGG,0.038670865054692416,0.03831202141053282,0.022485913070553726,0.055854378155213776,0.014994841817796895,0.056619587677713495,50,0.0,1.0
riken,mouse03,G3,R3,0.027143683911271255,0.027143683911271255,0.027143683911271255,0.027143683911271255,0.027143683911271255,0.027143683911271255,1,0.0,1.0
riken,mouse05,G2,R0,0.0006809399303023822,0.0006809399303023822,0.0006809399303023822,0.0006809399303023822,0.0006809399303023822,0.0006809399303023822,1,0.0,0.0
riken,mouse05,G2,R1_N_ONLY,-0.021933087192952262,-0.01923315541781448,-0.060925275392418494,0.009574421505538331,-0.06625412505739209,0.011071148272497722,50,0.62,0.04
riken,mouse05,G2,R2_RANDOM_AGG,0.04106440147210741,0.03997618227731861,0.008305238912563207,0.06675371353807964,0.003664614898989893,0.06965355257116618,50,0.0,0.96
riken,mouse05,G2,R3,0.051741233356290106,0.051741233356290106,0.051741233356290106,0.051741233356290106,0.051741233356290106,0.051741233356290106,1,0.0,1.0
riken,mouse05,G3,R0,0.0006809399303023822,0.0006809399303023822,0.0006809399303023822,0.0006809399303023822,0.0006809399303023822,0.0006809399303023822,1,0.0,0.0
riken,mouse05,G3,R1_N_ONLY,-0.07238483356290175,-0.07145575068870517,-0.09505294995408639,-0.04870833907254365,-0.11598278236914594,-0.04342022497704315,50,1.0,0.0
