dataset,animal,grain,contrast,mean,median,q025,q975,min,max,n,negative_fraction,reversal_fraction
riken,mouse03,G2,C1_finite_size,-0.1569170701925897,-0.1592211520662689,-0.17908411028101734,-0.12956882560989263,-0.1805329535725858,-0.12469934305921937,50,1.0,1.0
riken,mouse03,G2,C2_aggregation,0.3417492573985377,0.34205154560406925,0.31046873415253295,0.36719475235530713,0.3034918682609098,0.3726950431533157,50,0.0,0.0
riken,mouse03,G2,C3_spatial_organization,-0.04889342567525885,-0.0486801819650764,-0.06666259332531206,-0.03256976862457012,-0.06679482989340874,-0.029170715905409927,50,1.0,1.0
riken,mouse03,G2,C4_total_objectification,0.13593876153068907,0.13593876153068907,0.13593876153068907,0.13593876153068907,0.13593876153068907,0.13593876153068907,1,0.0,0.0
riken,mouse03,G3,C1_finite_size,-0.0417024926474043,-0.03760167703003467,-0.0922121754307367,-0.010229813167893058,-0.10857317980403833,-0.0011308828330434118,50,0.98,0.98
riken,mouse03,G3,C2_aggregation,0.1012384375492281,0.09664180493610186,0.059889219268433415,0.14951721941365642,0.05650309398629483,0.1860578473288832,50,0.0,0.0
riken,mouse03,G3,C3_spatial_organization,-0.01152718114342116,-0.011168337499261563,-0.02871069424394252,0.004657770840717526,-0.02947590376644224,0.01214884209347436,50,0.54,0.54
riken,mouse03,G3,C4_total_objectification,0.04800876375840263,0.04800876375840263,0.04800876375840263,0.04800876375840263,0.04800876375840263,0.04800876375840263,1,0.0,0.0
riken,mouse05,G2,C1_finite_size,-0.022614027123254637,-0.01991409534811686,-0.06160621532272088,0.008893481575235949,-0.06693506498769447,0.01039020834219534,50,0.64,0.64
riken,mouse05,G2,C2_aggregation,0.06299748866505966,0.05277432349058772,0.0299752223047234,0.12551581744289483,0.028520119519054254,0.1332065577651515,50,0.0,0.0
riken,mouse05,G2,C3_spatial_organization,0.0106768318841827,0.011765051078971495,-0.015012480181789538,0.04343599444372689,-0.01791231921487607,0.04807661845730021,50,0.1,0.1
riken,mouse05,G2,C4_total_objectification,0.051060293425987724,0.051060293425987724,0.051060293425987724,0.051060293425987724,0.051060293425987724,0.051060293425987724,1,0.0,0.0
riken,mouse05,G3,C1_finite_size,-0.07306577349320412,-0.07213669061900756,-0.09573388988438877,-0.04938927900284603,-0.11666372229944832,-0.04410116490734553,50,1.0,1.0
riken,mouse05,G3,C2_aggregation,0.07037790059687789,0.06726495064279152,0.03726301509412315,0.11324471849173551,0.028333620293847506,0.12802106290174486,50,0.0,0.0
riken,mouse05,G3,C3_spatial_organization,-0.06656526629935719,-0.06684116735537192,-0.10642575614095497,-0.03053121269513307,-0.11007128099173549,-0.02733798209366381,50,1.0,1.0
riken,mouse05,G3,C4_total_objectification,-0.06925313919568343,-0.06925313919568343,-0.06925313919568343,-0.06925313919568343,-0.06925313919568343,-0.06925313919568343,1,1.0,1.0
riken,mouse06,G2,C1_finite_size,-0.12527939114334752,-0.12582580900038445,-0.1423984419227434,-0.10907373396441371,-0.14446672649400616,-0.10846821770158299,50,1.0,1.0
riken,mouse06,G2,C2_aggregation,0.04323932783018865,0.042007950171324304,0.02242229641563197,0.06698029973179587,0.016712332291295817,0.07130557147042241,50,0.0,0.0
riken,mouse06,G2,C3_spatial_organization,-0.08404237523362416,-0.08280389554223039,-0.10178947591957037,-0.06975544740399171,-0.10492093864957891,-0.06668277467515143,50,1.0,1.0
riken,mouse06,G2,C4_total_objectification,-0.16608243854678306,-0.16608243854678306,-0.16608243854678306,-0.16608243854678306,-0.16608243854678306,-0.16608243854678306,1,1.0,1.0
riken,mouse06,G3,C1_finite_size,-0.20790549538202946,-0.20829697793592364,-0.22928455135431458,-0.1861940406629362,-0.24064514378640509,-0.18444695034697944,50,1.0,1.0
riken,mouse06,G3,C2_aggregation,0.07873927137510128,0.0790252475643997,0.05402839806282625,0.10297675451110157,0.049175452729568275,0.10431013212071533,50,0.0,0.0
riken,mouse06,G3,C3_spatial_organization,-0.16872840804431197,-0.16777534031271796,-0.1830147299787298,-0.1569588142996119,-0.19466944499406422,-0.14760784421109172,50,1.0,1.0
riken,mouse06,G3,C4_total_objectification,-0.29789463205124017,-0.29789463205124017,-0.29789463205124017,-0.29789463205124017,-0.29789463205124017,-0.29789463205124017,1,1.0,1.0
riken,mouse07,G2,C1_finite_size,-0.106092238010473,-0.10625828052659486,-0.12719426518767776,-0.0835045766512981,-0.13274305965384153,-0.0788075225260092,50,1.0,1.0
riken,mouse07,G2,C2_aggregation,0.04307557149095332,0.04079541505402884,0.01550694451818194,0.06474610187263956,0.014227581072101148,0.06947181025115556,50,0.0,0.0
riken,mouse07,G2,C3_spatial_organization,0.001112108271703518,0.0008512941141596564,-0.013608571121362894,0.020043022269554206,-0.026838065562463265,0.021915559277821295,50,0.12,0.12
riken,mouse07,G2,C4_total_objectification,-0.061904558247816155,-0.061904558247816155,-0.061904558247816155,-0.061904558247816155,-0.061904558247816155,-0.061904558247816155,1,1.0,1.0
riken,mouse07,G3,C1_finite_size,-0.1944249872592435,-0.1945020733105018,-0.21178630897300918,-0.1766005837341825,-0.21536439419047823,-0.17590439766240823,50,1.0,1.0
riken,mouse07,G3,C2_aggregation,0.07108468878882249,0.07146811128763016,0.04971033276169234,0.09397443977867322,0.04698525131161804,0.10870790284908677,50,0.0,0.0
