seed,split
1001,calibration
1002,calibration
2101,pilot
2102,pilot
2103,pilot
2104,pilot
2105,pilot
3101,confirmatory
3102,confirmatory
3103,confirmatory
3104,confirmatory
3105,confirmatory
3106,confirmatory
3107,confirmatory
3108,confirmatory
3109,confirmatory
3110,confirmatory
3111,confirmatory
3112,confirmatory
3113,confirmatory
3114,confirmatory
3115,confirmatory
3116,confirmatory
3117,confirmatory
3118,confirmatory
3119,confirmatory
3120,confirmatory
3121,confirmatory
3122,confirmatory
3123,confirmatory
3124,confirmatory
3125,confirmatory
3126,confirmatory
3127,confirmatory
3128,confirmatory
3129,confirmatory
3130,confirmatory
