seed,episode,environment_family,interaction_min,interaction_max,expansions_min,expansions_max,planning_min,planning_max,interaction_budget_equal,compute_budget_equal
3101,0,Hidden-Irreversible,6,6,144,144,6,6,True,True
3101,0,Hidden-Irreversible-Shift,6,6,144,144,6,6,True,True
3101,0,Hidden-Reversible,6,6,144,144,6,6,True,True
3101,0,Stable-Reversible,6,6,144,144,6,6,True,True
3101,1,Hidden-Irreversible,6,6,144,144,6,6,True,True
3101,1,Hidden-Irreversible-Shift,6,6,144,144,6,6,True,True
3101,1,Hidden-Reversible,6,6,144,144,6,6,True,True
3101,1,Stable-Reversible,6,6,144,144,6,6,True,True
3101,2,Hidden-Irreversible,6,6,144,144,6,6,True,True
3101,2,Hidden-Irreversible-Shift,6,6,144,144,6,6,True,True
3101,2,Hidden-Reversible,6,6,144,144,6,6,True,True
3101,2,Stable-Reversible,6,6,144,144,6,6,True,True
3101,3,Hidden-Irreversible,6,6,144,144,6,6,True,True
3101,3,Hidden-Irreversible-Shift,6,6,144,144,6,6,True,True
3101,3,Hidden-Reversible,6,6,144,144,6,6,True,True
3101,3,Stable-Reversible,6,6,144,144,6,6,True,True
3101,4,Hidden-Irreversible,6,6,144,144,6,6,True,True
3101,4,Hidden-Irreversible-Shift,6,6,144,144,6,6,True,True
3101,4,Hidden-Reversible,6,6,144,144,6,6,True,True
3101,4,Stable-Reversible,6,6,144,144,6,6,True,True
3101,5,Hidden-Irreversible,6,6,144,144,6,6,True,True
3101,5,Hidden-Irreversible-Shift,6,6,144,144,6,6,True,True
3101,5,Hidden-Reversible,6,6,144,144,6,6,True,True
3101,5,Stable-Reversible,6,6,144,144,6,6,True,True
3101,6,Hidden-Irreversible,6,6,144,144,6,6,True,True
3101,6,Hidden-Irreversible-Shift,6,6,144,144,6,6,True,True
3101,6,Hidden-Reversible,6,6,144,144,6,6,True,True
3101,6,Stable-Reversible,6,6,144,144,6,6,True,True
3101,7,Hidden-Irreversible,6,6,144,144,6,6,True,True
3101,7,Hidden-Irreversible-Shift,6,6,144,144,6,6,True,True
3101,7,Hidden-Reversible,6,6,144,144,6,6,True,True
3101,7,Stable-Reversible,6,6,144,144,6,6,True,True
3101,8,Hidden-Irreversible,6,6,144,144,6,6,True,True
3101,8,Hidden-Irreversible-Shift,6,6,144,144,6,6,True,True
3101,8,Hidden-Reversible,6,6,144,144,6,6,True,True
3101,8,Stable-Reversible,6,6,144,144,6,6,True,True
3101,9,Hidden-Irreversible,6,6,144,144,6,6,True,True
3101,9,Hidden-Irreversible-Shift,6,6,144,144,6,6,True,True
3101,9,Hidden-Reversible,6,6,144,144,6,6,True,True
3101,9,Stable-Reversible,6,6,144,144,6,6,True,True
3101,10,Hidden-Irreversible,6,6,144,144,6,6,True,True
3101,10,Hidden-Irreversible-Shift,6,6,144,144,6,6,True,True
3101,10,Hidden-Reversible,6,6,144,144,6,6,True,True
3101,10,Stable-Reversible,6,6,144,144,6,6,True,True
3101,11,Hidden-Irreversible,6,6,144,144,6,6,True,True
3101,11,Hidden-Irreversible-Shift,6,6,144,144,6,6,True,True
3101,11,Hidden-Reversible,6,6,144,144,6,6,True,True
3101,11,Stable-Reversible,6,6,144,144,6,6,True,True
