seed,system,environment_family,current_task_success,future_task_success,joint_success,rfs_auc,final_rfs,wrong_commitment,irreversible_failure,probe_count,node_expansions,environment_interactions,wall_clock_seconds
3101,C-immediateCommit,Hidden-Irreversible,0.9,0.445,0.445,0.7575,0.515,0.72,0.555,0.0,144.0,6.0,0.0003106475399999395
3101,C-immediateCommit,Hidden-Irreversible-Shift,0.9,0.445,0.445,0.7575,0.515,0.72,0.555,0.0,144.0,6.0,0.000261185865001562
3101,C-immediateCommit,Hidden-Reversible,0.9,0.9,0.9,1.0,1.0,0.72,0.1,0.0,144.0,6.0,0.0002156184399927455
3101,C-immediateCommit,Stable-Reversible,0.9,0.9,0.9,1.0,1.0,0.72,0.1,0.0,144.0,6.0,0.00023549463002832348
3101,C-noBranchMemory,Hidden-Irreversible,0.91,0.91,0.91,1.0,1.0,0.0,0.0,5.0,144.0,6.0,0.0012066148700000156
3101,C-noBranchMemory,Hidden-Irreversible-Shift,0.91,0.91,0.91,1.0,1.0,0.0,0.0,5.0,144.0,6.0,0.0012225666650169335
3101,C-noBranchMemory,Hidden-Reversible,0.92,0.92,0.92,1.0,1.0,0.63,0.08,0.0,144.0,6.0,0.0002186583550087055
3101,C-noBranchMemory,Stable-Reversible,0.92,0.92,0.92,1.0,1.0,0.63,0.08,0.0,144.0,6.0,0.00025047116498166553
3101,C-noProbe,Hidden-Irreversible,0.88,0.88,0.88,1.0,1.0,0.0,0.0,0.0,144.0,6.0,0.0002612601550048955
3101,C-noProbe,Hidden-Irreversible-Shift,0.88,0.88,0.88,1.0,1.0,0.0,0.0,0.0,144.0,6.0,0.00024166017999045048
3101,C-noProbe,Hidden-Reversible,0.92,0.92,0.92,1.0,1.0,0.63,0.08,0.0,144.0,6.0,0.000251998449994011
3101,C-noProbe,Stable-Reversible,0.92,0.92,0.92,1.0,1.0,0.63,0.08,0.0,144.0,6.0,0.0002443653100135175
3101,C-noReversibility,Hidden-Irreversible,0.9,0.445,0.445,0.7575,0.515,0.72,0.555,0.0,144.0,6.0,0.00023170110500126952
3101,C-noReversibility,Hidden-Irreversible-Shift,0.9,0.445,0.445,0.7575,0.515,0.72,0.555,0.0,144.0,6.0,0.00023193584502446098
3101,C-noReversibility,Hidden-Reversible,0.9,0.9,0.9,1.0,1.0,0.72,0.1,0.0,144.0,6.0,0.00024627805996937447
3101,C-noReversibility,Stable-Reversible,0.9,0.9,0.9,1.0,1.0,0.72,0.1,0.0,144.0,6.0,0.00022084175001050002
