system,environment_family,seed,current_task_success,future_task_success,joint_success,rfs_auc,final_rfs,wrong_commitment,irreversible_failure,probe_count,node_expansions,environment_interactions,wall_clock_seconds
C-immediateCommit,Hidden-Irreversible,3115.5,0.8975000000000001,0.4951666666666667,0.4951666666666667,0.7676666666666667,0.5353333333333333,0.6793333333333333,0.5048333333333334,0.0,144.0,6.0,0.00024647175266714997
C-immediateCommit,Hidden-Irreversible-Shift,3115.5,0.8975000000000001,0.4951666666666667,0.4951666666666667,0.7676666666666667,0.5353333333333333,0.6793333333333333,0.5048333333333334,0.0,144.0,6.0,0.000248974567005336
C-immediateCommit,Hidden-Reversible,3115.5,0.8975000000000001,0.8975000000000001,0.8975000000000001,1.0,1.0,0.6793333333333333,0.10250000000000001,0.0,144.0,6.0,0.00023972272833326508
C-immediateCommit,Stable-Reversible,3115.5,0.8975000000000001,0.8975000000000001,0.8975000000000001,1.0,1.0,0.6793333333333333,0.10250000000000001,0.0,144.0,6.0,0.0002358310143351405
C-noBranchMemory,Hidden-Irreversible,3115.5,0.8816666666666666,0.8816666666666666,0.8816666666666666,1.0,1.0,0.0,0.0,5.0,144.0,6.0,0.0012761023054995613
C-noBranchMemory,Hidden-Irreversible-Shift,3115.5,0.8816666666666666,0.8816666666666666,0.8816666666666666,1.0,1.0,0.0,0.0,5.0,144.0,6.0,0.0012886049243277544
C-noBranchMemory,Hidden-Reversible,3115.5,0.897,0.897,0.897,1.0,1.0,0.6679999999999999,0.103,0.0,144.0,6.0,0.0002528456966687785
C-noBranchMemory,Stable-Reversible,3115.5,0.897,0.897,0.897,1.0,1.0,0.6679999999999999,0.103,0.0,144.0,6.0,0.0002649739431661702
C-noProbe,Hidden-Irreversible,3115.5,0.8758333333333332,0.8758333333333332,0.8758333333333332,1.0,1.0,0.0,0.0,0.0,144.0,6.0,0.0002635145954962917
C-noProbe,Hidden-Irreversible-Shift,3115.5,0.8758333333333332,0.8758333333333332,0.8758333333333332,1.0,1.0,0.0,0.0,0.0,144.0,6.0,0.0002608929244982198
C-noProbe,Hidden-Reversible,3115.5,0.897,0.897,0.897,1.0,1.0,0.6679999999999999,0.103,0.0,144.0,6.0,0.000254781523832233
C-noProbe,Stable-Reversible,3115.5,0.897,0.897,0.897,1.0,1.0,0.6679999999999999,0.103,0.0,144.0,6.0,0.0002579039406630532
C-noReversibility,Hidden-Irreversible,3115.5,0.8975000000000001,0.4951666666666667,0.4951666666666667,0.7676666666666667,0.5353333333333333,0.6793333333333333,0.5048333333333334,0.0,144.0,6.0,0.00024126319799524476
C-noReversibility,Hidden-Irreversible-Shift,3115.5,0.8975000000000001,0.4951666666666667,0.4951666666666667,0.7676666666666667,0.5353333333333333,0.6793333333333333,0.5048333333333334,0.0,144.0,6.0,0.00025564325816892776
C-noReversibility,Hidden-Reversible,3115.5,0.8975000000000001,0.8975000000000001,0.8975000000000001,1.0,1.0,0.6793333333333333,0.10250000000000001,0.0,144.0,6.0,0.00023482036816739764
