history,seed,kstar,base_accuracy,auc_intact,auc_O,auc_N,C_R,C_N
D,0,3,1.0,0.727386,0.663757,0.606628,0.072296,-0.057129
D,1,2,1.0,0.836700,0.783661,0.718872,-0.000114,-0.064789
D,2,2,1.0,0.821472,0.826843,0.680908,0.001553,-0.145935
D,3,2,1.0,0.755005,0.786163,0.659760,-0.015678,-0.126404
D,4,3,1.0,0.772156,0.832733,0.654816,-0.015209,-0.177917
D,5,2,1.0,0.790497,0.665100,0.660919,0.098194,-0.004181
D,6,2,1.0,0.867065,0.835876,0.779694,0.017387,-0.056183
D,7,2,1.0,0.786285,0.648926,0.707031,0.053577,0.058105
D,8,2,1.0,0.815430,0.789215,0.646759,0.014843,-0.142456
D,9,3,1.0,0.680603,0.751282,0.491241,-0.087204,-0.260040
D,10,2,1.0,0.749023,0.595978,0.618103,0.175797,0.022125
D,11,2,1.0,0.753815,0.761292,0.579742,-0.011612,-0.181549
S,0,3,1.0,0.623810,0.772369,0.591278,-0.084900,-0.181091
S,1,3,1.0,0.778534,0.660767,0.555389,0.162273,-0.105377
S,2,3,1.0,0.652527,0.803894,0.570953,-0.019760,-0.232941
S,3,3,1.0,0.779999,0.743256,0.531708,0.033035,-0.211548
S,4,2,1.0,0.897186,0.878082,0.528473,-0.003124,-0.349609
S,5,3,1.0,0.820465,0.862061,0.578369,-0.028221,-0.283691
S,6,3,1.0,0.940674,0.922394,0.676422,-0.003319,-0.245972
S,7,3,1.0,0.819427,0.726196,0.506622,0.141933,-0.219574
S,8,2,1.0,0.763184,0.605835,0.511017,0.147945,-0.094818
S,9,2,1.0,0.766724,0.581055,0.523010,0.216988,-0.058044
S,10,3,1.0,0.829102,0.829102,0.670013,-0.045204,-0.159088
S,11,2,1.0,0.815094,0.883087,0.530914,-0.038513,-0.352173
