seed,auc_I0,auc_IS,auc_ID,C_SD,C_S0
300,0.9762520323,0.9760406512,0.9823211379,-0.0062804868,-0.0002113812
301,0.9725365871,0.9750894303,0.9723109776,0.0027784528,0.0025528432
302,0.9668089418,0.9784491884,0.9751707303,0.0032784581,0.0116402466
303,0.9748313005,0.9774004062,0.9830873991,-0.0056869929,0.0025691057
304,0.9696117883,0.9792256103,0.9767256096,0.0025000007,0.0096138220
305,0.9713434964,0.9617865858,0.9713191062,-0.0095325204,-0.0095569106
306,0.9739979687,0.9699369917,0.9738760148,-0.0039390231,-0.0040609770
307,0.9649207314,0.9782296736,0.9749634158,0.0032662578,0.0133089422
308,0.9688536608,0.9753434946,0.9746930916,0.0006504030,0.0064898338
309,0.9667256091,0.9649573168,0.9693638203,-0.0044065035,-0.0017682922
310,0.9652682933,0.9844004067,0.9745670736,0.0098333331,0.0191321135
311,0.9741504061,0.9771687006,0.9699918700,0.0071768306,0.0030182945
