seed,path,stable_candidates,max_B_accuracy,min_B_loss,min_B_ECE
3001,standard_full,19,0.870125,0.366786,0.006443
3001,head_only,17,0.791625,0.624629,0.022234
3001,replay_full,19,0.873000,0.361380,0.007011
3001,head_reset_full,17,0.874750,0.361037,0.007920
3002,standard_full,18,0.875750,0.358114,0.006454
3002,head_only,9,0.767000,0.680893,0.019915
3002,replay_full,16,0.872500,0.370780,0.010398
3002,head_reset_full,18,0.871250,0.366949,0.006352
3003,standard_full,17,0.873000,0.357955,0.006010
3003,head_only,16,0.779250,0.662333,0.037766
3003,replay_full,19,0.876000,0.357644,0.004588
3003,head_reset_full,16,0.875000,0.352911,0.007546
3004,standard_full,19,0.874750,0.355000,0.007901
3004,head_only,17,0.791750,0.620512,0.044271
3004,replay_full,18,0.878375,0.348656,0.008259
3004,head_reset_full,17,0.876625,0.352450,0.007506
3005,standard_full,17,0.872875,0.360575,0.005706
3005,head_only,5,0.761750,0.694190,0.028628
3005,replay_full,17,0.880000,0.347239,0.006949
3005,head_reset_full,16,0.872875,0.358317,0.006394
