author	exact_title	publication_year	volume	issue	pages	document_type	subfield	contemporaneous_review_status	technical_depth_availability	target_line_exclusion_status	full_text_status
	JSL volume 3 issue 1 Cover and Front matter	1938	3	1	f1-f5	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
	Errata	1938	3	1	iv-iv	errata	editorial/association apparatus				metadata only; full text not reached
L. Chwistek; W. Hetper	New foundation of formal metamathematics	1938	3	1	1-36	primary technical publication	proof theory and formal systems	in-block contemporaneous review entry immediately identified	technical-depth potentially sufficient		metadata only; full text not reached
W. V. Quine	Completeness of the propositional calculus	1938	3	1	37-40	primary technical publication	propositional, many-valued, and modal logic	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Olaf Helmer	Eugen Roth. Axiomatische Untersuchungen zur projektiven, affinen und metrischen Geometrie. Forschungen zur Logik und zur Grundlegung der exakten Wissenschaften, n. s. no. 2. S. Hirzel, Leipzig1937, 58 pp.	1938	3	1	41-42	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Frederic B. Fitch	J. H. Woodger. The axiomatic method in biology. The University Press, Cambridge, England, 1937; The Macmillan Company, New York 1937; x + 174 pp. Appendix C, by W. F. Floyd, pp. 154–158. Appendix E, by Alfred Tarski, pp. 161–172.	1938	3	1	42-43	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Jørgen Jørgensen. Træk of deduktionsteoriens udvikling i den nyere tid (Outline of the recent development of the theory of deduction). Levin & Munksgaard, Copenhagen1937, 117 pp.	1938	3	1	43-43	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
M. Kokoszyińska	Jan Łukasiewicz. W obronie logistyki (In defense of logistic). Reprinted from Myśl katolicka wobec logiki wspóiczesnej (Catholic thought and modern logic). Studia Gniesnensia no. 15, 1937, 22 pp.	1938	3	1	43-44	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	La pensée calholique et la logique moderne. Compte rendu de la session spéciale tenue le 26. IX. 1936 pendant le III-e Congrès Polonais de Philosophie. Wydawnictwa Wydziału Teologicznego U. J., series 1, no. 2. Kraków1937, 41 pp.	1938	3	1	44-45	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Bolesław Sobociński	Antoni Korcik. Teorja konwersji zdań asertorycznych u Arystoletesa w świetle teorji dedukcji (Théorie de la conversion des propositions assertoriques chez Aristote à la lumière de la théorie de la déduction). Wydawnictwo studjów teologicznych. Wilno1937, 36 pages.	1938	3	1	45-45	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
H. Mehlberg	Marja Kokoszyńska. Logiczna skladnia jȩzyka, semantyka i logika wiedzy (La syntaxe logique du langage, la sémantique et la logique de la science). Przeglqd filozoficzny, t. 39 (1936), p. 38–49.	1938	3	1	45-45	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	I. M. Bocheński. De consequentiis scholasticorum earumque origine. Angelicum (Rome), vol. 15 (1938), pp. 1–18.	1938	3	1	45-46	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Julius Weinberg. A possible solution of the heterological paradox. The philosophical review, vol. 46 (1937), pp. 657–659.	1938	3	1	46-46	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	László Kalmár. Zur Reducktion des Entsckeidungsproblems. Norsk matematisk tidsskrift, vol. 19 (1937), pp. 121–130.	1938	3	1	46-46	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Th. Skolem. Forklaring til foranstdende avhandling av L. Kalmár (Explanation to the foregoing paper of L. Kalmár). Norsk matematisk tidsskrift, vol. 19 (1937), pp. 130–133.	1938	3	1	46-46	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
