dataset_id,subject_id,session_id,circuit_id,t_sec,dt_sec,spike_count,x_mtor_proxy,u_observer,condition,split
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,0.1,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,0.45,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,1.1,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,1.2,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,2.2,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,2.4,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,2.55,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,3.2,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,3.5,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,3.75,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,4.6,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,5.3,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,6.45,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,7.0,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,7.1,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,7.45,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,7.5,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,7.8,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,8.4,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,8.85,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,8.95,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,9.4,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,9.45,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,11.05,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,11.35,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,13.1,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|unknown,Sst-IRES-Cre;Ai32-386129,715093703,950910352,13.15,0.05,0,,0.30907,0,train
