dataset_id,subject_id,session_id,circuit_id,t_sec,dt_sec,spike_count,x_mtor_proxy,u_observer,condition,split
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.0,0.05,0,,0.2,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.05,0.05,0,,0.284697,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.1,0.05,0,,0.368643,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.15,0.05,0,,0.451092,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.2,0.05,1,,0.531312,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.25,0.05,0,,0.608591,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.3,0.05,0,,0.682244,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.35,0.05,1,,0.751616,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.4,0.05,0,,0.816092,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.45,0.05,0,,0.8751,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.5,0.05,0,,0.928115,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.55,0.05,0,,0.974668,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.6,0.05,0,,1.014344,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.65,0.05,0,,1.046793,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.7,0.05,1,,1.071725,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.75,0.05,0,,1.08892,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.8,0.05,0,,1.098224,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.85,0.05,1,,1.099556,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.9,0.05,0,,1.092903,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,0.95,0.05,1,,1.078325,visual_stim,train
allen_vcnp_v2,mouse_demo,session_demo_02,unit_000,1.0,0.05,1,,1.055951,visual_stim,train
