omega,theta,sigma,mean_rate_hz,mi_nats,delta_mi_vs_omega0
0.0,0.5,0.02,24.773333,0.0006,0.0
0.0,0.5,0.05,24.84,0.000632,0.0
0.0,0.5,0.1,24.826667,0.000608,0.0
0.0,0.6,0.02,24.373333,0.000527,0.0
0.0,0.6,0.05,24.426667,0.000602,0.0
0.0,0.6,0.1,24.306667,0.000422,0.0
0.0,0.7,0.02,23.12,0.000419,0.0
0.0,0.7,0.05,23.013333,0.000471,0.0
0.0,0.7,0.1,22.62,0.000754,0.0
0.2,0.5,0.02,29.02,0.000325,-0.000275
0.2,0.5,0.05,28.906667,0.000434,-0.000198
0.2,0.5,0.1,28.906667,0.000423,-0.000185
0.2,0.6,0.02,28.26,0.000401,-0.000126
0.2,0.6,0.05,28.26,0.000371,-0.00023
0.2,0.6,0.1,28.253333,0.000413,-1e-05
0.2,0.7,0.02,26.373333,0.00045,3e-05
0.2,0.7,0.05,26.386667,0.000426,-4.5e-05
0.2,0.7,0.1,26.16,0.000541,-0.000213
0.4,0.5,0.02,33.98,0.001075,0.000476
0.4,0.5,0.05,33.993333,0.001053,0.000421
0.4,0.5,0.1,33.993333,0.001077,0.000469
0.4,0.6,0.02,33.146667,0.000784,0.000257
0.4,0.6,0.05,33.12,0.000803,0.000202
0.4,0.6,0.1,32.98,0.00086,0.000438
0.4,0.7,0.02,31.146667,0.000739,0.00032
0.4,0.7,0.05,31.006667,0.000695,0.000225
0.4,0.7,0.1,31.193333,0.00076,6e-06
0.8,0.5,0.02,46.7,0.003551,0.002952
0.8,0.5,0.05,46.893333,0.003732,0.0031
0.8,0.5,0.1,46.62,0.003816,0.003208
0.8,0.6,0.02,45.26,0.003536,0.003009
0.8,0.6,0.05,45.286667,0.003614,0.003013
0.8,0.6,0.1,45.153333,0.003387,0.002965
0.8,0.7,0.02,42.506667,0.002914,0.002495
0.8,0.7,0.05,42.213333,0.002769,0.002298
0.8,0.7,0.1,41.98,0.003009,0.002254
1.2,0.5,0.02,63.76,0.007173,0.006574
1.2,0.5,0.05,63.646667,0.006891,0.00626
1.2,0.5,0.1,63.52,0.006589,0.005982
1.2,0.6,0.02,61.993333,0.006071,0.005544
1.2,0.6,0.05,62.2,0.006134,0.005532
1.2,0.6,0.1,61.826667,0.006018,0.005595
1.2,0.7,0.02,59.013333,0.005053,0.004633
1.2,0.7,0.05,58.293333,0.005107,0.004636
1.2,0.7,0.1,58.033333,0.005064,0.00431
